name,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31
È­¾çÀû,84.7826,43.47826,58.69565,84.7826,93.47826,71.73913,36.95652,32.60869,34.7826,100,65.21739,86.95652,73.91304,28.26086,15.21739,80.43478,93.47826,60.86956,34.7826,76.08695,32.60869,36.95652,67.3913,50,91.30434,69.56521,65.21739,15.21739,30.43478,86.95652,60.86956
È²ÅÂ±¸ÀÌ,100,87.51733,91.12343,68.09986,60.61026,58.9459,75.72815,77.39251,83.49514,58.39112,56.44937,60.05547,49.79195,60.19417,71.70596,54.36893,56.72676,51.45631,52.84327,57.42024,59.36199,63.80027,50.06934,54.78502,47.71151,46.87933,50.62413,64.77115,63.38418,48.54368,43.13453
È²ÅÂÄá³ª¹°Âò,0,57.14285,57.14285,0,0,42.85714,0,42.85714,0,0,0,0,57.14285,0,0,64.28571,35.71428,0,50,0,57.14285,42.85714,57.14285,0,0,42.85714,0,42.85714,35.71428,100,0
È²ÅÂÇØÀå±¹,51.80353,47.65924,47.19877,28.47275,29.31696,30.23791,38.75671,52.64773,50.34535,34.15195,30.54489,29.77743,27.93553,35.68687,47.50575,32.15656,31.08211,30.08442,33.76822,30.62164,43.20798,52.264,33.30775,32.00306,28.5495,49.04067,64.38986,80.42977,100,66.30851,54.56638
È¸³Ã¸é,87.9518,100,61.44578,53.01204,50.6024,54.21686,48.19277,57.83132,53.01204,48.19277,40.96385,44.57831,34.93975,65.06024,53.01204,49.39759,49.39759,56.6265,38.55421,45.78313,49.39759,59.03614,60.24096,60.24096,54.21686,48.19277,36.14457,48.19277,85.54216,42.16867,28.91566
È¸µ¤¹ä,79.43107,75.0547,65.64551,60.17505,62.36323,57.11159,71.11597,86.65207,89.27789,75.71115,64.98905,71.11597,79.8687,78.55579,100,82.27571,75.71115,79.21225,67.39606,65.42669,78.11816,88.62144,79.21225,71.33479,73.08533,71.33479,81.18161,80.30634,86.21444,74.17943,70.02188
ÈÆÁ¦¿À¸®,45.5927,51.8237,65.65349,83.43465,82.37082,72.34042,64.43768,63.98176,83.58662,88.60182,96.2006,81.91489,71.27659,55.77507,75.98784,100,91.18541,80.69908,99.69604,70.51671,63.37386,68.54103,90.5775,89.05775,92.55319,80.09118,74.62006,64.89361,72.94832,80.85106,94.9848
ÈÌ±Å,94.73684,94.73684,87.62183,70.5653,69.29824,74.95126,76.65692,100,93.07992,66.37426,70.7115,66.37426,77.48538,86.5497,80.26315,69.34697,66.61793,66.5692,68.85964,75.24366,86.74463,83.33333,66.66666,63.84015,67.00779,64.66861,67.83625,85.91617,90.15594,89.81481,92.69005
ÈæÀÓÀÚÁ×,46.37681,75.36231,65.94202,58.69565,76.81159,59.42028,78.26086,58.69565,59.42028,84.7826,83.33333,76.08695,59.42028,55.7971,76.81159,100,78.26086,79.71014,94.92753,76.81159,62.31884,73.1884,84.7826,76.81159,78.9855,76.81159,56.52173,60.86956,57.24637,92.02898,86.95652
ÈòÁ×,57.94871,45.64102,81.53846,82.5641,70.25641,50.76923,49.23076,65.1282,78.46153,82.5641,72.30769,74.87179,64.61538,48.71794,96.41025,94.35897,84.10256,74.87179,76.92307,49.23076,52.82051,85.64102,100,74.35897,83.58974,74.87179,51.28205,52.30769,93.33333,90.76923,65.64102
